Freq	Power
[Hz]	[dB]
0.000	-105.888
1.562	-77.416
3.125	-78.981
4.687	-82.569
6.250	-87.788
7.812	-91.359
9.375	-90.944
10.937	-91.684
12.500	-94.409
14.062	-94.169
15.625	-96.981
17.187	-96.261
18.750	-93.083
20.312	-88.990
21.875	-92.644
23.437	-91.947
25.000	-93.461
26.562	-90.394
28.125	-88.761
29.687	-104.250
31.250	-97.099
32.812	-92.448
34.375	-88.012
35.937	-91.181
37.500	-93.065
39.062	-95.095
40.625	-96.129
42.187	-89.167
43.750	-93.635
45.312	-85.870
46.875	-88.735
48.437	-97.378
50.000	-99.869
51.562	-99.094
53.125	-99.859
54.687	-87.927
56.250	-85.220
57.812	-86.004
59.375	-86.619
60.937	-85.742
62.500	-89.220
64.062	-84.290
65.625	-84.325
67.187	-88.206
68.750	-105.202
70.312	-92.845
71.875	-90.727
73.437	-86.813
75.000	-87.403
76.562	-91.121
78.125	-96.830
79.687	-100.051
81.250	-95.794
82.812	-91.747
84.375	-100.105
85.937	-91.374
87.500	-87.756
89.062	-86.762
90.625	-76.912
92.187	-77.484
93.750	-74.246
95.312	-70.370
96.875	-65.565
98.437	-0.004
100.000	6.007
101.562	-0.023
103.125	-65.134
104.687	-70.185
106.250	-76.814
107.812	-80.180
109.375	-80.826
110.937	-90.109
112.500	-88.865
114.062	-91.359
115.625	-91.670
117.187	-97.602
118.750	-89.650
120.312	-85.978
121.875	-86.696
123.437	-90.204
125.000	-88.720
126.562	-85.904
128.125	-87.885
129.687	-92.145
131.250	-101.913
132.812	-88.576
134.375	-88.127
135.937	-89.657
137.500	-87.553
139.062	-93.600
140.625	-94.912
142.187	-92.832
143.750	-107.353
145.312	-95.842
146.875	-93.924
148.437	-101.925
150.000	-92.743
151.562	-86.237
153.125	-84.353
154.687	-87.207
156.250	-90.153
157.812	-92.634
159.375	-94.819
160.937	-88.733
162.500	-91.382
164.062	-111.679
165.625	-102.212
167.187	-101.541
168.750	-89.633
170.312	-86.002
171.875	-88.795
173.437	-95.153
175.000	-104.171
176.562	-105.024
178.125	-90.162
179.687	-85.363
181.250	-83.573
182.812	-87.228
184.375	-92.173
185.937	-93.888
187.500	-98.690
189.062	-96.711
190.625	-95.798
192.187	-89.281
193.750	-87.824
195.312	-88.072
196.875	-74.146
198.437	-71.797
