Freq	Power
[Hz]	[dB]
0.000	-23.492
9.766	-26.792
19.531	-58.076
29.297	-55.416
39.062	-52.065
48.828	-47.698
58.594	-42.178
68.359	-34.850
78.125	-24.204
87.891	-1.605
97.656	7.783
107.422	4.741
117.187	-16.474
126.953	-30.361
136.719	-38.986
146.484	-45.372
156.250	-50.415
166.016	-54.474
175.781	-57.929
185.547	-60.736
195.312	-62.142
205.078	-64.359
214.844	-63.760
224.609	-63.381
234.375	-60.909
244.141	-57.863
253.906	-53.145
263.672	-47.002
273.437	-38.384
283.203	-24.172
292.969	-4.433
302.734	-1.865
312.500	-11.880
322.266	-33.271
332.031	-43.808
341.797	-51.118
351.562	-57.036
361.328	-61.767
371.094	-66.171
380.859	-69.969
390.625	-74.618
400.391	-78.420
410.156	-84.955
419.922	-81.379
429.687	-73.693
439.453	-69.010
449.219	-63.795
458.984	-57.563
468.750	-49.877
478.516	-38.965
488.281	-14.851
498.047	-6.062
507.812	-9.586
517.578	-32.502
527.344	-45.995
537.109	-54.415
546.875	-60.655
556.641	-65.311
566.406	-68.862
576.172	-72.386
585.937	-73.292
595.703	-75.410
605.469	-74.738
615.234	-72.896
625.000	-72.050
634.766	-68.397
644.531	-64.692
654.297	-59.824
664.062	-53.276
673.828	-44.507
683.594	-29.856
693.359	-11.400
703.125	-9.304
712.891	-19.965
722.656	-40.302
732.422	-50.632
742.187	-57.891
751.953	-63.466
761.719	-68.185
771.484	-73.573
781.250	-75.153
791.016	-80.967
800.781	-84.316
810.547	-87.819
820.312	-94.623
830.078	-78.993
839.844	-76.052
849.609	-70.413
859.375	-64.044
869.141	-56.312
878.906	-45.145
888.672	-19.212
898.437	-11.007
908.203	-15.015
917.969	-39.995
927.734	-53.075
937.500	-61.456
947.266	-67.614
957.031	-71.862
966.797	-74.861
976.562	-79.279
986.328	-79.184
996.094	-78.759
1005.859	-79.290
1015.625	-77.627
1025.391	-74.505
1035.156	-72.332
1044.922	-67.812
1054.687	-62.700
1064.453	-56.336
1074.219	-47.294
1083.984	-32.211
1093.750	-14.907
1103.516	-13.280
1113.281	-24.616
1123.047	-44.031
1132.812	-54.097
1142.578	-61.566
1152.344	-66.519
1162.109	-72.163
1171.875	-75.567
1181.641	-78.779
1191.406	-84.807
1201.172	-85.708
1210.937	-92.892
1220.703	-98.675
1230.469	-84.792
1240.234	-83.296
1250.000	-75.599
1259.766	-69.120
1269.531	-61.485
1279.297	-49.942
1289.062	-21.652
1298.828	-14.011
1308.594	-18.511
1318.359	-46.087
1328.125	-58.868
1337.891	-67.238
1347.656	-72.485
1357.422	-77.452
1367.187	-80.711
1376.953	-82.256
1386.719	-83.586
1396.484	-82.636
1406.250	-81.885
1416.016	-80.604
1425.781	-76.857
1435.547	-74.824
1445.312	-69.685
1455.078	-64.630
1464.844	-58.149
1474.609	-48.958
1484.375	-33.415
1494.141	-17.158
1503.906	-15.997
1513.672	-28.038
1523.437	-46.651
1533.203	-56.511
1542.969	-63.791
1552.734	-69.162
1562.500	-74.463
1572.266	-76.616
1582.031	-82.032
1591.797	-83.582
1601.562	-92.627
1611.328	-93.518
1621.094	-91.183
1630.859	-97.223
1640.625	-85.868
1650.391	-81.124
1660.156	-75.288
1669.922	-66.677
1679.687	-54.927
1689.453	-23.211
1699.219	-16.122
1708.984	-21.122
1718.750	-52.373
1728.516	-64.783
1738.281	-72.337
1748.047	-79.230
1757.812	-81.496
