Freq	Power
[Hz]	[dB]
0.000	-81.031
4.883	-83.005
9.766	-92.360
14.648	-87.991
19.531	-89.975
24.414	-96.576
29.297	-88.639
34.180	-90.384
39.062	-96.333
43.945	-88.441
48.828	-91.861
53.711	-101.869
58.594	-100.857
63.477	-102.994
68.359	-91.739
73.242	-87.994
78.125	-85.516
83.008	-85.622
87.891	-89.408
92.773	-100.745
97.656	-105.105
102.539	-106.232
107.422	-101.644
112.305	-97.961
117.187	-99.294
122.070	-92.711
126.953	-95.351
131.836	-100.443
136.719	-101.083
141.602	-98.005
146.484	-89.436
151.367	-87.721
156.250	-90.299
161.133	-97.054
166.016	-96.821
170.898	-96.244
175.781	-96.835
180.664	-100.185
185.547	-100.832
190.430	-101.240
195.312	-101.092
200.195	-94.218
205.078	-97.689
209.961	-97.459
214.844	-102.821
219.727	-90.189
224.609	-90.795
229.492	-96.100
234.375	-91.814
239.258	-91.063
244.141	-102.915
249.023	-92.402
253.906	-93.027
258.789	-101.611
263.672	-98.637
268.555	-93.091
273.437	-95.097
278.320	-96.105
283.203	-95.115
288.086	-94.254
292.969	-104.354
297.852	-107.478
302.734	-107.462
307.617	-98.797
312.500	-97.247
317.383	-91.453
322.266	-91.072
327.148	-96.343
332.031	-93.193
336.914	-101.426
341.797	-103.476
346.680	-93.388
351.562	-91.637
356.445	-90.846
361.328	-91.978
366.211	-93.736
371.094	-92.672
375.977	-91.147
380.859	-91.678
385.742	-94.551
390.625	-99.676
395.508	-97.322
400.391	-89.461
405.273	-87.791
410.156	-87.544
415.039	-93.646
419.922	-109.431
424.805	-107.082
429.687	-96.944
434.570	-93.624
439.453	-94.335
444.336	-93.667
449.219	-92.817
454.102	-91.900
458.984	-92.643
463.867	-99.739
468.750	-98.414
473.633	-92.125
478.516	-92.686
483.398	-95.289
488.281	-100.197
493.164	-86.298
498.047	-77.780
502.930	-81.694
507.812	-84.686
512.695	-85.714
517.578	-97.681
522.461	-97.496
527.344	-91.198
532.227	-94.147
537.109	-96.395
541.992	-95.065
546.875	-96.724
551.758	-93.530
556.641	-99.693
561.523	-103.846
566.406	-104.047
571.289	-95.857
576.172	-99.184
581.055	-96.415
585.937	-96.306
590.820	-106.921
595.703	-97.242
600.586	-90.612
605.469	-90.446
610.352	-95.922
615.234	-102.688
620.117	-112.171
625.000	-91.548
629.883	-89.671
634.766	-89.783
639.648	-89.074
644.531	-91.432
649.414	-92.017
654.297	-91.120
659.180	-99.707
664.062	-94.067
668.945	-89.006
673.828	-92.160
678.711	-95.386
683.594	-93.416
688.477	-104.437
693.359	-98.831
698.242	-94.686
703.125	-99.572
708.008	-97.913
712.891	-96.769
717.773	-103.513
722.656	-96.202
727.539	-108.189
732.422	-97.722
737.305	-100.257
742.187	-106.569
747.070	-104.412
751.953	-94.808
756.836	-102.231
761.719	-100.131
766.602	-94.699
771.484	-92.085
776.367	-88.722
781.250	-89.287
786.133	-92.509
791.016	-107.604
795.898	-94.926
800.781	-94.192
805.664	-94.358
810.547	-96.746
815.430	-95.731
820.312	-97.322
825.195	-103.466
830.078	-91.535
834.961	-102.431
839.844	-94.010
844.727	-90.917
849.609	-95.739
854.492	-94.997
859.375	-90.165
864.258	-85.180
869.141	-100.736
874.023	-91.003
878.906	-97.247
883.789	-86.873
888.672	-98.480
893.555	-88.492
898.437	-84.430
903.320	-88.013
908.203	-83.234
913.086	-87.883
917.969	-80.030
922.852	-80.787
927.734	-79.888
932.617	-75.852
937.500	-75.224
942.383	-73.505
947.266	-70.212
952.148	-68.184
957.031	-65.352
961.914	-62.054
966.797	-58.315
971.680	-54.253
976.562	-49.208
981.445	-42.855
986.328	-34.362
991.211	-20.835
996.094	2.229
1000.977	5.788
1005.859	-2.953
1010.742	-27.163
1015.625	-38.044
1020.508	-45.562
1025.391	-51.342
1030.273	-55.891
1035.156	-59.992
1040.039	-63.191
1044.922	-66.498
1049.805	-68.731
1054.687	-72.084
1059.570	-73.904
1064.453	-74.852
1069.336	-78.481
1074.219	-79.169
1079.102	-83.017
1083.984	-80.285
1088.867	-85.077
1093.750	-87.226
1098.633	-84.595
1103.516	-87.798
1108.398	-87.911
1113.281	-92.977
1118.164	-89.987
1123.047	-92.096
1127.930	-91.290
1132.812	-95.808
1137.695	-88.117
1142.578	-90.013
1147.461	-96.350
1152.344	-90.264
1157.227	-99.687
1162.109	-93.836
1166.992	-99.307
1171.875	-101.190
1176.758	-91.205
1181.641	-96.369
1186.523	-90.225
1191.406	-94.176
1196.289	-89.762
1201.172	-99.759
1206.055	-95.791
1210.937	-95.192
1215.820	-94.893
1220.703	-96.535
1225.586	-104.748
1230.469	-96.709
1235.352	-95.486
1240.234	-100.673
1245.117	-99.145
