Time	Ch 0
[s]	[V]
0.000000	-0.014415
0.000667	-0.014744
0.001333	-0.015073
0.002000	-0.015073
0.002667	-0.015073
0.003333	-0.015073
0.004000	-0.015401
0.004667	-0.015073
0.005333	-0.015401
0.006000	-0.014744
0.006666	-0.015073
0.007333	-0.014744
0.008000	-0.015073
0.008666	-0.015073
0.009333	-0.015073
0.010000	-0.015073
0.010666	-0.015073
0.011333	-0.014415
0.012000	-0.014744
0.012666	-0.014415
0.013333	-0.014415
0.014000	-0.014744
0.014666	-0.014744
0.015333	-0.014415
0.016000	-0.014086
0.016666	-0.014415
0.017333	-0.014086
0.018000	-0.014415
0.018666	-0.014086
0.019333	-0.014415
0.019999	-0.014415
0.020666	-0.014086
0.021333	-0.013428
0.021999	-0.013757
0.022666	-0.013757
0.023333	-0.013757
0.023999	-0.013757
0.024666	-0.013757
0.025333	-0.013428
0.025999	-0.014086
0.026666	-0.013428
0.027333	-0.013757
0.027999	-0.013757
0.028666	-0.013428
0.029333	-0.012771
0.029999	-0.013757
0.030666	-0.013428
0.031333	-0.014086
0.031999	-0.013757
0.032666	-0.013757
0.033333	-0.013099
0.033999	-0.013099
0.034666	-0.013099
0.035332	-0.013428
0.035999	-0.012771
0.036666	-0.013099
0.037332	-0.012771
0.037999	-0.013428
0.038666	-0.012771
0.039332	-0.013099
0.039999	-0.012771
0.040666	-0.013099
0.041332	-0.012771
0.041999	-0.012771
0.042666	-0.012113
0.043332	-0.012771
0.043999	-0.012113
0.044666	-0.012442
0.045332	-0.012113
0.045999	-0.012113
0.046665	-0.012113
0.047332	-0.012113
0.047999	-0.011784
0.048665	-0.012113
0.049332	-0.011784
0.049999	-0.011455
0.050665	-0.011784
0.051332	-0.011784
0.051999	-0.012113
0.052665	-0.011784
0.053332	-0.011784
0.053999	-0.011455
0.054665	-0.011784
0.055332	-0.011455
0.055999	-0.011455
0.056665	-0.012113
0.057332	-0.011784
0.057999	-0.011455
0.058665	-0.011455
0.059332	-0.011455
0.059998	-0.011126
0.060665	-0.011126
0.061332	-0.010797
0.061998	-0.011126
0.062665	-0.010797
0.063332	-0.010797
0.063998	-0.010797
0.064665	-0.011126
0.065332	-0.011126
0.065998	-0.010468
0.066665	-0.010797
0.067332	-0.010468
0.067998	-0.010797
0.068665	-0.010797
0.069332	-0.010468
0.069998	-0.010140
0.070665	-0.010468
0.071332	-0.009811
0.071998	-0.010468
0.072665	-0.010140
0.073331	-0.010468
0.073998	-0.009811
0.074665	-0.010468
0.075331	-0.010140
0.075998	-0.010140
0.076665	-0.009811
0.077331	-0.010140
0.077998	-0.010140
0.078665	-0.009811
0.079331	-0.009811
0.079998	-0.009482
0.080665	-0.009811
0.081331	-0.009811
0.081998	-0.009153
0.082665	-0.009482
0.083331	-0.009153
0.083998	-0.009153
0.084665	-0.009482
0.085331	-0.009482
0.085998	-0.009153
0.086664	-0.008824
0.087331	-0.008824
0.087998	-0.008824
0.088664	-0.008495
0.089331	-0.008495
0.089998	-0.008824
0.090664	-0.008495
0.091331	-0.008824
0.091998	-0.008495
0.092664	-0.008495
0.093331	-0.008166
0.093998	-0.008495
0.094664	-0.008166
0.095331	-0.008495
0.095998	-0.008166
0.096664	-0.007838
0.097331	-0.008166
0.097998	-0.008824
0.098664	-0.008495
0.099331	-0.008495
0.099997	-0.008166
0.100664	-0.008495
0.101331	-0.008166
0.101997	-0.008166
0.102664	-0.008495
0.103331	-0.007838
0.103997	-0.007838
0.104664	-0.007180
0.105331	-0.007838
0.105997	-0.007180
0.106664	-0.007509
0.107331	-0.007509
0.107997	-0.007509
0.108664	-0.007180
0.109331	-0.006522
0.109997	-0.007180
0.110664	-0.007509
0.111331	-0.007509
0.111997	-0.007180
0.112664	-0.007180
0.113331	-0.007180
0.113997	-0.007180
0.114664	-0.007180
0.115330	-0.006851
0.115997	-0.006522
0.116664	-0.007180
0.117330	-0.006193
0.117997	-0.006851
0.118664	-0.006522
0.119330	-0.006193
0.119997	-0.006193
0.120664	-0.006522
0.121330	-0.005864
0.121997	-0.005864
0.122664	-0.006522
0.123330	-0.006193
0.123997	-0.005535
0.124664	-0.005864
0.125330	-0.005535
0.125997	-0.005207
0.126663	-0.005207
0.127330	-0.005535
0.127997	-0.005535
0.128663	-0.005535
0.129330	-0.005207
0.129997	-0.005207
0.130663	-0.005535
0.131330	-0.004878
0.131997	-0.004878
0.132663	-0.005207
0.133330	-0.004878
0.133997	-0.004878
0.134663	-0.004878
0.135330	-0.004878
0.135997	-0.004878
0.136663	-0.005207
0.137330	-0.004878
0.137997	-0.004549
0.138663	-0.004549
0.139330	-0.004220
0.139996	-0.004878
0.140663	-0.004549
0.141330	-0.004549
0.141996	-0.003562
0.142663	-0.004549
