Time	Ch 0
[s]	[V]
0.000000	-2.767284
0.000667	-2.763667
0.001333	-2.761036
0.002000	-2.757418
0.002667	-2.755116
0.003333	-2.751499
0.004000	-2.748539
0.004667	-2.745250
0.005333	-2.741304
0.006000	-2.738344
0.006666	-2.734727
0.007333	-2.731109
0.008000	-2.727821
0.008666	-2.724203
0.009333	-2.719928
0.010000	-2.716639
0.010666	-2.712035
0.011333	-2.708746
0.012000	-2.705458
0.012666	-2.701182
0.013333	-2.696578
0.014000	-2.692303
0.014666	-2.688028
0.015333	-2.683752
0.016000	-2.679477
0.016666	-2.675202
0.017333	-2.670927
0.018000	-2.666323
0.018666	-2.662376
0.019333	-2.658430
0.019999	-2.653826
0.020666	-2.649879
0.021333	-2.644617
0.021999	-2.639356
0.022666	-2.635080
0.023333	-2.630147
0.023999	-2.625214
0.024666	-2.620610
0.025333	-2.615348
0.025999	-2.610744
0.026666	-2.605482
0.027333	-2.600549
0.027999	-2.595616
0.028666	-2.590355
0.029333	-2.584764
0.029999	-2.579502
0.030666	-2.574898
0.031333	-2.568978
0.031999	-2.564045
0.032666	-2.558126
0.033333	-2.551877
0.033999	-2.545629
0.034666	-2.539709
0.035332	-2.534447
0.035999	-2.528528
0.036666	-2.523595
0.037332	-2.517346
0.037999	-2.511756
0.038666	-2.506165
0.039332	-2.499259
0.039999	-2.493668
0.040666	-2.487419
0.041332	-2.481171
0.041999	-2.475251
0.042666	-2.468674
0.043332	-2.462755
0.043999	-2.456506
0.044666	-2.450258
0.045332	-2.444338
0.045999	-2.437103
0.046665	-2.430855
0.047332	-2.424277
0.047999	-2.417371
0.048665	-2.410465
0.049332	-2.404874
0.049999	-2.397639
0.050665	-2.391062
0.051332	-2.383827
0.051999	-2.376592
0.052665	-2.370343
0.053332	-2.363108
0.053999	-2.355873
0.054665	-2.348309
0.055332	-2.342061
0.055999	-2.334826
0.056665	-2.326933
0.057332	-2.319698
0.057999	-2.313120
0.058665	-2.305557
0.059332	-2.298322
0.059998	-2.291415
0.060665	-2.284180
0.061332	-2.276287
0.061998	-2.268724
0.062665	-2.260831
0.063332	-2.252938
0.063998	-2.246032
0.064665	-2.238139
0.065332	-2.229917
0.065998	-2.221696
0.066665	-2.214461
0.067332	-2.206568
0.067998	-2.198675
0.068665	-2.190453
0.069332	-2.182561
0.069998	-2.175326
0.070665	-2.165789
0.071332	-2.158225
0.071998	-2.150661
0.072665	-2.141781
0.073331	-2.133560
0.073998	-2.125996
0.074665	-2.118103
0.075331	-2.109224
0.075998	-2.100673
0.076665	-2.092123
0.077331	-2.083572
0.077998	-2.074693
0.078665	-2.066142
0.079331	-2.057592
0.079998	-2.049041
0.080665	-2.040491
0.081331	-2.031940
0.081998	-2.022403
0.082665	-2.013195
0.083331	-2.004315
0.083998	-1.995765
0.084665	-1.986557
0.085331	-1.977677
0.085998	-1.968469
0.086664	-1.960247
0.087331	-1.951039
0.087998	-1.941502
0.088664	-1.932623
0.089331	-1.922757
0.089998	-1.913877
0.090664	-1.904340
0.091331	-1.894803
0.091998	-1.885924
0.092664	-1.876058
0.093331	-1.866849
0.093998	-1.857970
0.094664	-1.848433
0.095331	-1.839225
0.095998	-1.829030
0.096664	-1.819493
0.097331	-1.809956
0.097998	-1.800747
0.098664	-1.790553
0.099331	-1.780029
0.099997	-1.770163
0.100664	-1.760955
0.101331	-1.750760
0.101997	-1.741223
0.102664	-1.731357
0.103331	-1.721491
0.103997	-1.710967
0.104664	-1.701101
0.105331	-1.690906
0.105997	-1.680711
0.106664	-1.671174
0.107331	-1.660979
0.107997	-1.650785
0.108664	-1.641247
0.109331	-1.630724
0.109997	-1.620529
0.110664	-1.610334
0.111331	-1.600139
0.111997	-1.589287
0.112664	-1.579421
0.113331	-1.568568
0.113997	-1.558044
0.114664	-1.547192
0.115330	-1.537655
0.115997	-1.526473
0.116664	-1.516278
0.117330	-1.505097
0.117997	-1.494244
0.118664	-1.483721
0.119330	-1.473197
0.119997	-1.462344
0.120664	-1.451492
0.121330	-1.440639
0.121997	-1.430773
0.122664	-1.419592
0.123330	-1.409068
0.123997	-1.397887
0.124664	-1.386705
0.125330	-1.376182
0.125997	-1.365329
0.126663	-1.353819
0.127330	-1.342966
0.127997	-1.332114
0.128663	-1.321261
0.129330	-1.309751
0.129997	-1.298898
0.130663	-1.287717
0.131330	-1.276535
0.131997	-1.265025
0.132663	-1.253843
0.133330	-1.242662
0.133997	-1.231481
0.134663	-1.220299
0.135330	-1.209118
0.135997	-1.197279
0.136663	-1.186097
0.137330	-1.175573
0.137997	-1.163734
0.138663	-1.152553
0.139330	-1.141043
0.139996	-1.129861
0.140663	-1.118351
0.141330	-1.106512
0.141996	-1.094344
0.142663	-1.083820
0.143330	-1.071981
0.143996	-1.060470
0.144663	-1.048960
0.145330	-1.037121
0.145996	-1.025282
0.146663	-1.012785
0.147330	-1.001603
0.147996	-0.990422
0.148663	-0.978254
0.149330	-0.966415
