Time	Ch 0
[s]	[V]
0.000000	2.808284
0.000400	-2.438106
0.000800	1.134033
0.001200	0.600942
0.001600	-2.109240
0.002000	2.808284
0.002400	-2.439092
0.002800	1.134361
0.003200	0.600942
0.003600	-2.108911
0.004000	2.808613
0.004400	-2.438763
0.004800	1.134690
0.005200	0.600942
0.005600	-2.108253
0.006000	2.808284
0.006400	-2.438763
0.006800	1.135677
0.007200	0.599627
0.007600	-2.107595
0.008000	2.807955
0.008400	-2.439421
0.008800	1.135677
0.009200	0.599627
0.009600	-2.107267
0.010000	2.807955
0.010400	-2.440079
0.010800	1.136335
0.011200	0.598969
0.011600	-2.107267
0.012000	2.807626
0.012400	-2.440408
0.012800	1.136992
0.013200	0.598969
0.013600	-2.106938
0.014000	2.807955
0.014400	-2.440079
0.014800	1.136992
0.015200	0.597653
0.015600	-2.106938
0.016000	2.808284
0.016400	-2.440408
0.016800	1.137979
0.017200	0.597653
0.017600	-2.106609
0.018000	2.807955
0.018400	-2.440737
0.018800	1.138308
0.019200	0.597325
0.019600	-2.105951
0.020000	2.807955
0.020400	-2.441066
0.020800	1.138637
0.021200	0.596338
0.021600	-2.105622
0.022000	2.807955
0.022400	-2.441066
0.022800	1.138637
0.023200	0.596009
0.023600	-2.104965
0.024000	2.807626
0.024400	-2.441066
0.024800	1.139623
0.025200	0.595351
0.025600	-2.104965
0.026000	2.807626
0.026400	-2.441394
0.026800	1.140610
0.027200	0.594694
0.027600	-2.104636
0.028000	2.806968
0.028400	-2.442052
0.028800	1.140610
0.029200	0.594036
0.029600	-2.103978
0.030000	2.806968
0.030400	-2.442381
0.030800	1.140939
0.031200	0.593707
0.031600	-2.103978
0.032000	2.806640
0.032400	-2.442710
0.032800	1.141597
0.033200	0.593049
0.033600	-2.103649
0.034000	2.807297
0.034400	-2.443039
0.034800	1.142254
0.035200	0.592720
0.035600	-2.102662
0.036000	2.806968
0.036400	-2.443039
0.036800	1.142912
0.037200	0.592063
0.037600	-2.102991
0.038000	2.806640
0.038400	-2.443039
0.038800	1.143899
0.039200	0.591734
0.039600	-2.102662
0.040000	2.807297
0.040400	-2.443368
0.040800	1.143899
0.041200	0.590747
0.041600	-2.102662
0.042000	2.806968
0.042400	-2.443696
0.042800	1.144556
0.043200	0.590418
0.043600	-2.101676
0.044000	2.806968
0.044400	-2.444025
0.044800	1.144885
0.045200	0.590418
0.045600	-2.101347
0.046000	2.806968
0.046400	-2.444025
0.046800	1.145214
0.047200	0.590089
0.047600	-2.100689
0.048000	2.806640
0.048400	-2.444354
0.048800	1.146201
0.049200	0.588774
0.049600	-2.100689
0.050000	2.806968
0.050400	-2.445012
0.050800	1.146858
0.051200	0.588445
0.051600	-2.100032
0.052000	2.805982
0.052400	-2.444683
0.052800	1.146858
0.053200	0.587459
0.053600	-2.100032
0.054000	2.806311
0.054400	-2.445341
0.054800	1.147845
0.055200	0.587130
0.055600	-2.099703
0.056000	2.806311
0.056400	-2.445999
0.056800	1.147516
0.057200	0.586801
0.057600	-2.099374
0.058000	2.806311
0.058400	-2.445999
0.058800	1.148174
0.059200	0.586472
0.059600	-2.099045
0.060000	2.805982
0.060400	-2.446327
0.060800	1.148832
0.061200	0.585814
0.061600	-2.098387
0.062000	2.806640
0.062400	-2.446327
0.062800	1.149489
0.063200	0.585485
0.063600	-2.098058
0.064000	2.805982
0.064400	-2.446656
0.064800	1.149489
0.065200	0.584828
0.065600	-2.098387
0.066000	2.806640
0.066400	-2.446656
0.066800	1.150147
0.067200	0.584170
0.067600	-2.097729
0.068000	2.805653
0.068400	-2.446985
0.068800	1.150805
0.069200	0.583512
0.069600	-2.097729
0.070000	2.805653
0.070400	-2.447314
0.070800	1.151791
0.071200	0.583512
0.071600	-2.097072
0.072000	2.806640
0.072400	-2.447972
0.072800	1.151791
0.073200	0.583183
0.073600	-2.096414
0.074000	2.805982
0.074400	-2.447972
0.074800	1.152120
0.075200	0.582526
0.075600	-2.096414
0.076000	2.805982
0.076400	-2.448629
