Freq	Power
[Hz]	[dB]
0.000	-73.764
0.977	-75.473
1.953	-86.774
2.930	-80.194
3.906	-74.872
4.883	-61.460
5.859	-62.893
6.836	-78.847
7.812	-80.640
8.789	-77.866
9.766	-76.100
10.742	-81.759
11.719	-91.959
12.695	-85.844
13.672	-80.411
14.648	-85.815
15.625	-90.990
16.602	-92.514
17.578	-81.319
18.555	-81.872
19.531	-88.922
20.508	-83.377
21.484	-87.158
22.461	-79.610
23.437	-88.161
24.414	-83.014
25.391	-83.059
26.367	-78.736
27.344	-80.056
28.320	-76.974
29.297	-73.513
30.273	-68.776
31.250	-60.278
32.227	-35.017
33.203	-27.230
34.180	-31.636
35.156	-57.229
36.133	-65.318
37.109	-75.563
38.086	-79.527
39.062	-84.554
40.039	-83.116
41.016	-78.912
41.992	-79.564
42.969	-91.450
43.945	-82.637
44.922	-85.866
45.898	-84.984
46.875	-87.496
47.852	-85.209
48.828	-78.515
49.805	-78.219
50.781	-89.970
51.758	-86.668
52.734	-86.486
53.711	-87.887
54.687	-94.524
55.664	-82.892
56.641	-91.901
57.617	-83.538
58.594	-83.713
59.570	-88.405
60.547	-86.611
61.523	-82.464
62.500	-91.920
63.477	-82.653
64.453	-88.752
65.430	-88.705
66.406	-85.722
67.383	-95.019
68.359	-84.947
69.336	-93.911
70.312	-89.506
71.289	-94.718
72.266	-83.677
73.242	-85.386
74.219	-81.643
75.195	-78.995
76.172	-88.121
77.148	-86.281
78.125	-84.432
79.102	-83.787
80.078	-88.947
81.055	-78.233
82.031	-80.395
83.008	-83.179
83.984	-81.054
84.961	-83.390
85.937	-86.583
86.914	-85.161
87.891	-84.344
88.867	-79.203
89.844	-83.980
90.820	-82.220
91.797	-77.366
92.773	-85.358
93.750	-79.369
94.727	-75.407
95.703	-74.705
96.680	-70.570
97.656	-65.349
98.633	-49.392
99.609	-37.342
100.586	-38.727
101.562	-53.817
102.539	-68.273
103.516	-75.392
104.492	-81.847
105.469	-77.444
106.445	-79.761
107.422	-80.197
108.398	-78.636
109.375	-91.171
110.352	-80.731
111.328	-86.790
112.305	-80.390
113.281	-95.662
114.258	-82.242
115.234	-84.718
116.211	-87.328
117.187	-85.572
118.164	-88.887
119.141	-83.182
120.117	-83.632
121.094	-86.357
122.070	-89.047
123.047	-90.107
124.023	-87.280
125.000	-89.993
125.977	-89.616
126.953	-84.584
127.930	-93.726
128.906	-82.350
129.883	-89.684
130.859	-90.715
131.836	-90.742
132.812	-88.970
133.789	-88.872
134.766	-94.116
135.742	-83.917
136.719	-98.432
137.695	-87.064
138.672	-93.187
139.648	-89.088
140.625	-84.535
141.602	-85.772
142.578	-85.949
143.555	-94.208
144.531	-80.857
145.508	-79.653
146.484	-87.817
147.461	-84.393
148.437	-86.227
149.414	-94.033
150.391	-83.425
151.367	-85.569
152.344	-83.420
153.320	-90.868
154.297	-89.180
155.273	-79.077
156.250	-83.881
157.227	-79.995
158.203	-81.883
159.180	-79.189
160.156	-81.192
161.133	-76.966
162.109	-74.706
163.086	-72.373
164.062	-71.838
165.039	-61.673
166.016	-43.107
166.992	-41.662
167.969	-51.944
168.945	-68.881
169.922	-76.673
170.898	-80.459
171.875	-84.948
172.852	-76.694
173.828	-80.232
174.805	-79.474
175.781	-82.862
176.758	-83.101
177.734	-83.972
178.711	-91.551
179.687	-87.074
180.664	-81.006
181.641	-81.020
182.617	-90.807
183.594	-86.686
184.570	-82.985
185.547	-82.220
186.523	-83.184
187.500	-88.955
188.477	-98.714
189.453	-88.180
190.430	-87.301
191.406	-88.610
192.383	-95.462
193.359	-84.662
194.336	-83.023
195.312	-87.491
196.289	-81.471
197.266	-83.645
198.242	-88.222
199.219	-89.010
200.195	-92.910
201.172	-81.962
202.148	-86.970
203.125	-90.927
204.102	-83.646
205.078	-78.875
206.055	-85.820
207.031	-88.227
208.008	-97.755
208.984	-88.395
209.961	-86.120
210.937	-80.490
211.914	-74.711
212.891	-91.967
213.867	-77.350
214.844	-77.661
215.820	-72.570
216.797	-67.148
217.773	-62.624
218.750	-57.694
219.727	-50.560
220.703	-40.452
221.680	-20.841
222.656	-9.646
223.633	-11.369
224.609	-28.929
225.586	-43.976
226.562	-52.374
227.539	-58.779
228.516	-63.492
229.492	-69.394
230.469	-76.970
231.445	-84.507
232.422	-48.071
233.398	-43.422
234.375	-50.106
235.352	-71.999
236.328	-74.919
237.305	-75.277
238.281	-80.665
239.258	-80.478
240.234	-77.438
241.211	-82.022
242.187	-83.525
243.164	-79.080
244.141	-85.549
245.117	-84.236
246.094	-82.453
247.070	-79.373
248.047	-91.773
249.023	-85.099
250.000	-85.024
250.977	-82.119
251.953	-82.412
252.930	-85.077
253.906	-84.481
254.883	-84.200
255.859	-81.938
256.836	-88.619
257.812	-98.564
258.789	-87.489
259.766	-87.165
260.742	-87.612
261.719	-83.799
262.695	-86.101
263.672	-88.284
264.648	-82.309
265.625	-83.575
266.602	-87.655
267.578	-105.153
268.555	-82.284
269.531	-91.026
270.508	-82.590
271.484	-83.000
272.461	-80.077
273.437	-89.976
274.414	-93.976
275.391	-82.614
276.367	-78.556
277.344	-82.785
