Time	Ch 0
[s]	[V]
0.000000	0.422766
4.000000E-5	0.444800
8.000000E-5	0.450719
0.000120	0.439538
0.000160	0.405994
0.000200	0.355348
0.000240	0.288260
0.000280	0.210319
0.000320	0.120867
0.000360	0.028127
0.000400	-0.071190
0.000440	-0.169521
0.000480	-0.263905
0.000520	-0.350397
0.000560	-0.421432
0.000600	-0.480628
0.000640	-0.525353
0.000680	-0.552978
0.000720	-0.558240
0.000760	-0.545085
0.000800	-0.513185
0.000840	-0.466815
0.000880	-0.402687
0.000920	-0.326719
0.000960	-0.236610
0.001000	-0.139594
0.001040	-0.044552
0.001080	0.052134
0.001120	0.142901
0.001160	0.233997
0.001200	0.309636
0.001240	0.369818
0.001280	0.414215
0.001320	0.441182
0.001360	0.453350
0.001400	0.441511
0.001440	0.411255
0.001480	0.362583
0.001520	0.302730
0.001560	0.226762
0.001600	0.139941
0.001640	0.044570
0.001680	-0.054418
0.001720	-0.154722
0.001760	-0.245160
0.001800	-0.331652
0.001840	-0.410908
0.001880	-0.473064
0.001920	-0.518447
0.001960	-0.547059
0.002000	-0.557582
0.002040	-0.550676
0.002080	-0.523709
0.002120	-0.474379
0.002160	-0.413868
0.002200	-0.339216
0.002240	-0.254039
0.002280	-0.160970
0.002320	-0.063955
0.002360	0.037664
0.002400	0.130733
0.002440	0.219527
0.002480	0.295495
0.002520	0.356335
0.002560	0.407638
0.002600	0.440524
0.002640	0.451377
0.002680	0.442169
0.002720	0.417833
0.002760	0.374094
0.002800	0.314898
0.002840	0.240245
0.002880	0.253400
0.002920	0.157371
0.002960	0.062000
0.003000	-0.036659
0.003040	-0.132359
0.003080	-0.222139
0.003120	-0.302711
0.003160	-0.361907
0.003200	-0.413210
0.003240	-0.447741
0.003280	-0.462869
0.003320	-0.454976
0.003360	-0.429654
0.003400	-0.386572
0.003440	-0.328692
0.003480	-0.256670
0.003520	-0.169521
0.003560	-0.076781
0.003600	0.019248
0.003640	0.116592
0.003680	0.211634
0.003720	0.297468
0.003760	0.383302
0.003800	0.448088
0.003840	0.499391
0.003880	0.533264
0.003920	0.544775
0.003960	0.545761
0.004000	0.523070
0.004040	0.479659
