Freq	Power
[Hz]	[dB]
0.000	-46.562
0.977	-49.579
1.953	-88.991
2.930	-94.544
3.906	-103.686
4.883	-90.151
5.859	-87.312
6.836	-79.906
7.812	-82.610
8.789	-88.064
9.766	-93.719
10.742	-92.898
11.719	-79.841
12.695	-67.186
13.672	-71.363
14.648	-81.008
15.625	-85.715
16.602	-82.436
17.578	-80.353
18.555	-83.457
19.531	-76.858
20.508	-76.094
21.484	-75.118
22.461	-72.056
23.437	-69.293
24.414	-66.856
25.391	-63.284
26.367	-59.714
27.344	-55.658
28.320	-50.484
29.297	-44.198
30.273	-35.621
31.250	-22.023
32.227	0.519
33.203	3.940
34.180	-4.970
35.156	-28.720
36.133	-39.567
37.109	-46.991
38.086	-52.762
39.062	-57.407
40.039	-61.236
41.016	-65.100
41.992	-67.414
42.969	-71.139
43.945	-72.645
44.922	-75.162
45.898	-76.304
46.875	-80.590
47.852	-79.574
48.828	-82.777
49.805	-84.783
50.781	-89.213
51.758	-82.171
52.734	-66.858
53.711	-71.146
54.687	-84.486
55.664	-87.953
56.641	-89.815
57.617	-90.931
58.594	-79.421
59.570	-81.896
60.547	-90.320
61.523	-94.004
62.500	-89.475
63.477	-96.019
64.453	-96.509
65.430	-80.821
66.406	-78.978
67.383	-92.735
68.359	-91.584
69.336	-111.500
70.312	-97.261
71.289	-107.338
72.266	-84.182
73.242	-78.355
74.219	-88.077
75.195	-96.678
76.172	-101.188
77.148	-92.470
78.125	-72.665
79.102	-67.798
80.078	-75.601
81.055	-90.865
82.031	-96.708
83.008	-100.933
83.984	-90.414
84.961	-100.257
85.937	-87.851
86.914	-84.181
87.891	-101.915
88.867	-84.779
89.844	-81.629
90.820	-82.168
91.797	-76.515
92.773	-73.414
93.750	-68.785
94.727	-63.480
95.703	-56.484
96.680	-46.351
97.656	-27.281
98.633	-15.686
99.609	-17.137
100.586	-34.042
101.562	-49.267
102.539	-58.455
103.516	-65.274
104.492	-69.846
105.469	-74.298
106.445	-78.684
107.422	-81.999
108.398	-83.302
109.375	-86.783
110.352	-95.648
111.328	-85.897
112.305	-95.555
113.281	-89.531
114.258	-91.940
115.234	-92.975
116.211	-92.233
117.187	-91.024
118.164	-70.338
119.141	-65.699
120.117	-73.951
121.094	-99.289
122.070	-110.601
123.047	-98.226
124.023	-82.348
125.000	-78.105
125.977	-86.236
126.953	-89.261
127.930	-89.537
128.906	-94.935
129.883	-95.713
130.859	-83.868
131.836	-77.081
132.812	-81.175
133.789	-91.273
134.766	-94.699
135.742	-101.592
136.719	-96.522
137.695	-92.456
138.672	-79.411
139.648	-79.472
140.625	-88.600
141.602	-95.811
142.578	-101.636
143.555	-82.266
144.531	-69.107
145.508	-69.382
146.484	-82.348
147.461	-95.708
148.437	-90.828
149.414	-97.455
150.391	-90.465
151.367	-90.446
152.344	-94.370
153.320	-98.220
154.297	-101.426
155.273	-94.285
156.250	-96.710
157.227	-100.462
158.203	-87.516
159.180	-82.972
160.156	-85.506
161.133	-91.354
