Freq	Power
[Hz]	[dB]
0.000	-58.681
0.977	-61.742
1.953	-105.268
2.930	-91.991
3.906	-88.454
4.883	-93.339
5.859	-101.297
6.836	-95.930
7.812	-95.009
8.789	-93.984
9.766	-97.394
10.742	-105.783
11.719	-93.996
12.695	-96.260
13.672	-89.276
14.648	-90.896
15.625	-91.220
16.602	-93.349
17.578	-98.830
18.555	-104.107
19.531	-94.336
20.508	-89.797
21.484	-89.708
22.461	-94.122
23.437	-95.575
24.414	-107.833
25.391	-104.793
26.367	-103.129
27.344	-97.113
28.320	-95.908
29.297	-94.557
30.273	-107.801
31.250	-95.999
32.227	-89.477
33.203	-93.690
34.180	-106.605
35.156	-102.405
36.133	-100.547
37.109	-100.643
38.086	-114.546
39.062	-110.825
40.039	-99.230
41.016	-95.604
41.992	-89.809
42.969	-90.157
43.945	-100.173
44.922	-95.350
45.898	-93.768
46.875	-98.524
47.852	-108.956
48.828	-98.252
49.805	-96.786
50.781	-104.838
51.758	-99.333
52.734	-104.482
53.711	-97.883
54.687	-95.675
55.664	-94.526
56.641	-99.878
57.617	-89.434
58.594	-86.109
59.570	-96.500
60.547	-99.989
61.523	-97.502
62.500	-97.401
63.477	-95.270
64.453	-96.155
65.430	-99.543
66.406	-106.220
67.383	-96.458
68.359	-95.574
69.336	-102.240
70.312	-95.628
71.289	-91.681
72.266	-86.196
73.242	-87.365
74.219	-98.663
75.195	-103.175
76.172	-93.279
77.148	-89.964
78.125	-92.089
79.102	-98.674
80.078	-92.728
81.055	-87.888
82.031	-91.257
83.008	-95.878
83.984	-104.992
84.961	-104.409
85.937	-100.277
86.914	-97.094
87.891	-98.668
88.867	-97.927
89.844	-98.783
90.820	-101.363
91.797	-95.762
92.773	-93.915
93.750	-101.951
94.727	-105.693
95.703	-96.669
96.680	-98.101
97.656	-105.104
98.633	-95.112
99.609	-94.082
100.586	-91.596
101.562	-96.314
102.539	-93.315
103.516	-97.398
104.492	-96.932
105.469	-107.853
106.445	-99.006
107.422	-104.989
108.398	-99.318
109.375	-93.847
110.352	-99.058
111.328	-104.006
112.305	-99.580
113.281	-96.362
114.258	-93.957
115.234	-92.150
116.211	-97.696
117.187	-102.375
118.164	-99.512
